Document_ID,Clean_Text,Sentiment
1,murphi except,Neutral
2,challeng watch sure worthwhil one,Positive
3,qualiti exhaust,Neutral
4,oscar goe,Neutral
5,brilliantli layer examin man throughout incred accomplish fundament flaw,Neutral
6,nolan touch great fall slightli short,Positive
7,,Neutral
8,masterpiec,Neutral
9,nolan deliv powerful biopic show dark side human natur,Positive
10,might interest topic get,Neutral
11,cinemat masterpiec christoph nolan,Neutral
12,break filmmaklng rule good way,Positive
13,highli overr,Neutral
14,sever overhyp,Neutral
15,nolan best,Positive
16,except storytel geniu cinametographi,Neutral
17,simpli amaz,Neutral
18,technic superb,Positive
19,cinemat masterpiec,Neutral
20,quit bore,Neutral
21,good movi dont let nolan fan fool,Positive
22,loud long,Positive
23,less would,Negative
24,oppenborem,Neutral
25,brilliant masterpiec cut core human fear,Positive
26,tale american prometheu,Neutral
27,murphi nolan explos combin,Neutral
28,futur classic extrem import movi present day,Positive
29,movi bomb,Neutral
30,realli sure think,Positive
31,wish could say blast,Neutral
32,realli great movi christoph nolan,Positive
33,doubt well made stori overal bore,Neutral
34,amount dramat music quick cut could convinc entertain,Positive
35,mix feel,Neutral
36,oppenheim movi definit type topic isnt someth im mostli interest nevertheless almost touch cinemat perfect,Positive
37,cillan great actor realis,Positive
38,movi year,Neutral
39,film decad,Neutral
40,mr nolan amaz legend,Neutral
41,wist regret physic might,Neutral
42,noth special,Positive
43,watch imax,Neutral
44,stori secur clearanc,Neutral
45,disappoint,Neutral
46,murphi amaz downey jr steal show,Neutral
47,nolan best far,Positive
48,eye look full fear regret guilt,Positive
49,hang tight,Negative
50,nolan possibl best,Positive
51,great nolan work,Positive
52,half hour long miss point,Negative
53,becom death destroy world,Negative
54,dud,Neutral
55,bloat talki unnecessarili complic,Neutral
56,overlong overcompl,Neutral
57,oppenheim jamison slabaugh,Neutral
58,mini seri would better way go,Positive
59,interest long,Negative
60,ye,Neutral
61,christoph nolan filmmak craft entir seri within threehour movi,Neutral
62,stun put time capsul,Neutral
63,much tell less show,Positive
64,one masterpiec,Neutral
65,properti theft kid,Neutral
66,confus,Neutral
67,disappoint grossli overhyp sad film,Negative
68,gener takeaway,Neutral
69,im gonna keep super simpl cinema,Positive
70,best movi,Positive
71,anoth masterpiec christoph nolan,Neutral
72,sheer brillianc christoph nolan,Neutral
73,mostli bore pain,Neutral
74,your scienc geek,Neutral
75,overr,Neutral
76,late hour cinema screen wont miss anyth,Negative
77,due timelin jump exhaust watch,Negative
78,cinemat event,Neutral
79,authent masterpiec human explor,Neutral
80,nolan truli outdon,Neutral
81,oppenheim victim bare acknowledg,Negative
82,singl bad perform,Negative
83,oppenheim cinemat masterpiec reson,Neutral
84,act outstand stori drag,Negative
85,amaz,Neutral
86,sometim movi tri mention everyth end say noth,Neutral
87,movi feel like sit anoth comani execut board meet hour listen blabbl,Neutral
88,phenomen,Neutral
89,nolan person best screenplay,Positive
90,superior filmmak histor storytel,Positive
91,stori artist perfect,Positive
92,check heart rate,Neutral
93,academi award written allov,Neutral
94,good ultim disappoint,Positive
95,cillian murphi deserv oscar,Neutral
96,unfortun didnt live hype,Positive
97,disappoint,Neutral
98,either dont understand art grown old,Positive
99,,Neutral
100,amaz histor film,Neutral
101,best actor goe cillian murphi,Positive
102,brilliant roller coaster,Positive
103,excel,Neutral
104,strong middl first third act bore,Positive
105,beauti brilliant bifurc,Positive
106,great perform underwhelm courtroom drama,Positive
107,overr mile,Neutral
108,oppenyawn,Neutral
109,cinemat triumph unravel soul man behind bomb,Negative
110,visual stun emot captiv journey histori,Neutral
111,awesom,Neutral
112,must see,Neutral
113,great histori,Positive
114,oppenheim christoph nolan deep dive life atom age complex pioneer,Negative
115,unnecessarili lengthi,Neutral
116,master portrait oppenheim nolan stellar triumph,Positive
117,nolan fail,Negative
118,disappoint,Neutral
119,dude felt weight world shoulder,Neutral
120,oppenheim,Neutral
121,pull credit roll,Neutral
122,worth effort,Positive
123,solid,Neutral
124,close perfect,Positive
125,okay ill bad guy reject masterpiec peopl claim,Negative
126,fission fusion oscar,Neutral
127,movi requir,Neutral
128,nonstop background music ruin,Neutral
129,overr movi,Neutral
130,kept engag throughout,Neutral
131,believ,Neutral
132,better expect hour peopl talk,Positive
133,execut perfect one themat flaw,Positive
134,oppenheim absolut thought provok cinemat masterpiec,Neutral
135,great act long complic,Positive
136,best ever,Positive
137,worth extra money spent imax,Positive
138,long littl draw interest,Negative
139,unwatch,Neutral
140,good good,Positive
141,,Neutral
142,tik tok era appar,Neutral
143,cinemat masterpiec,Neutral
144,oppenheim,Neutral
145,peopl chang world like oppenheim cant complic,Neutral
146,lot hype,Neutral
147,best film ive ever seen nolan outdon,Positive
148,stori doesnt fit form,Positive
149,unnecessarili complic,Neutral
150,wont would,Neutral
151,muse death stuff,Neutral
152,fabul everyon,Neutral
153,cinemat masterpiec,Neutral
154,realiti engulf nolan magic,Positive
155,christoph nolan best film far,Positive
156,great part well made long kind dull didnt care charact,Positive
157,nolan film,Neutral
158,mediocr best,Positive
159,consid warn,Neutral
160,great film lack pace drama,Positive
161,mean justifi end,Negative
162,wont fear understand wont understand theyv use theori take far,Positive
163,greatest movi ill never watch,Positive
164,oppenheim,Neutral
165,oppenheim honest review,Positive
166,triumph,Neutral
167,cspan excit senat confirm hear,Neutral
168,utterli bore disappoint,Neutral
169,tough watch,Negative
170,oppenheim good film great,Positive
171,three nailbit hour,Neutral
172,movi worth watch,Positive
173,new leagu cinema,Positive
174,bravo bravo bravo,Neutral
175,incred,Neutral
176,disappoint,Neutral
177,particl world collid,Neutral
178,excel act ruin excess pace,Neutral
179,top rate,Positive
180,nolan fall short,Neutral
181,walt watch,Neutral
182,must see,Neutral
183,film big screen,Neutral
184,astonish accomplish,Neutral
185,great epic uniqu biopic everyon,Positive
186,weight inform,Neutral
187,histor drama without accur histori,Neutral
188,bomb play film,Neutral
189,bore,Neutral
190,practic overhyp film centuri,Neutral
191,way long,Negative
192,power film,Neutral
193,good movi,Positive
194,anoth christoph nolan gem someth feel bit pace portray,Neutral
195,oppenheim,Neutral
196,becom death destroy world,Negative
197,messag,Neutral
198,beyond expect,Neutral
199,highli overr good act slow,Positive
200,miss someth,Neutral
201,total overhyp,Neutral
202,good rendit fascin histor tale,Positive
203,film deep complex,Negative
204,cinemat brillianc atom scale,Neutral
205,usual read book first,Neutral
206,cillian final get deserv,Neutral
207,scene cut jar,Neutral
208,unlik woman build bomb,Neutral
209,good movi polit,Positive
210,soundtrack need realli quiet sometim,Neutral
211,pearl swine,Neutral
212,learn proper dutch next time,Neutral
213,stagger achiev,Neutral
214,film year biopic like,Neutral
215,master display act brillianc audiovisu spectacl,Neutral
216,brilliant bio deepli flaw geniu,Positive
217,im still process good film three day saw,Positive
218,disappoint nolan,Neutral
219,quit possibl best nolan movi,Positive
220,mid,Neutral
221,unpopular opinion diehard nolan fan,Neutral
222,hour long,Negative
223,perfect,Positive
224,masterpiec,Neutral
225,good great worth watch,Positive
226,fill numer scene unfold high speed make difficult catch everi dialogu,Negative
227,warn nolan fan,Neutral
228,cours great best,Positive
229,sloppi distract close shot,Neutral
230,good slow,Positive
231,amaz movi technic long bit meh stori,Negative
232,call oppenheim trial,Neutral
233,mayb nolan best work,Positive
234,great movi review den,Positive
235,bomb,Neutral
236,gen z,Neutral
237,bad tad long short physic,Negative
238,import film current centuri,Neutral
239,worth runtim,Positive
240,singl greatest accomplish hollywood last year,Positive
241,ill bet that jack quaid richard feynman play bongo drum,Negative
242,wow magnific new favourit film,Positive
243,excit full paradox haunt,Positive
244,watch,Neutral
245,lost track time,Neutral
246,atom bomb movi noth atom bomb,Neutral
247,classic cinematographi back,Positive
248,bit underwhelm,Neutral
249,three hour much,Positive
250,good entertain,Positive
251,nolanesqu,Neutral
252,oppenheim mighti fine histor film come,Positive
253,cinema masterpiec,Neutral
254,magnific biopic,Neutral
255,becom death destroy world,Negative
256,fine wellcast polish interest long dryish biopic,Positive
257,honest folk,Positive
258,captiv drama strong perform,Positive
259,epic mani way miss much potenti,Positive
260,whole movi feel like trailer documentari,Positive
261,oppenheim,Neutral
262,oppenheim might seem like departur director best known epic scienc fiction trilog comic book movi possibl masterpiec,Positive
263,fantast cast,Neutral
264,oppenheim captiv cinemat journey histori dark secret,Negative
265,interest,Neutral
266,masterpiec film,Neutral
267,insan good,Positive
268,almost walk,Neutral
269,nolan,Neutral
270,cool concept interest seem histor accur,Positive
271,thought dull dishwash,Negative
272,best movi year one great war movi time,Positive
273,thrill enthral cinemat event,Neutral
274,excepcion,Neutral
275,modern classic,Positive
276,nerd like mcu aveng except superhero scientist obvious christoph nolan,Neutral
277,intens charact studi father atom bomb nolan utterli terrifi masterpiec,Neutral
278,honest review,Positive
279,good great,Positive
280,amaz cast,Neutral
281,almost brilliant jumbl lightn fast struggl keep detail,Positive
282,oppenheim overr film year,Neutral
283,truli amaz,Neutral
284,outstand movi,Neutral
285,movi without proport,Neutral
286,bomb com,Neutral
287,movi scienc action,Positive
288,clever also heart,Positive
289,oppenheim,Neutral
290,good,Positive
291,masterpiec overr overhyp need set expect beforehand,Neutral
292,meander biographi disappoint,Neutral
293,masterpiec,Neutral
294,excel movi read histori first,Positive
295,pay attent outstand,Neutral
296,greatest cinema year,Positive
297,dutch great movi though,Positive
298,cristoph nolan film,Neutral
299,so dont get excit due nolan save time repeat save time,Negative
300,christoph nolan,Neutral
301,watch entir movi hold breath reserv regard montag,Neutral
302,cold long histori lesson,Negative
303,loud loud,Positive
304,visual sound design make movi,Positive
305,brilliant script intens rivet screenplay dialogu,Positive
306,movi quantum scienc,Neutral
307,christoph nolan absolut best work,Positive
308,cgi good write good act,Positive
309,cillian murphi steal show,Neutral
310,need dont,Neutral
311,masterpiec go cinema,Neutral
312,flopenheim,Neutral
313,dont feel need follow hurd,Neutral
314,emperor new cloth,Positive
315,greatest film time,Positive
316,nolan masterclass phenomen perform across board harrow truth one human brilliant yet deadli discoveri,Positive
317,masterpiec sea pseudomovi,Neutral
318,believ,Neutral
319,exceed expect,Neutral
320,surprisingli bore,Neutral
321,expect,Neutral
322,swing miss,Neutral
323,god,Neutral
324,nolan magnum opu,Neutral
325,masterpiec understand,Neutral
326,film inspir gener film maker,Neutral
327,nolan dont miss,Neutral
328,boom,Neutral
329,emtpi,Neutral
330,care,Neutral
331,well done cast crew,Neutral
332,fallout modern biopic,Positive
333,overr like nolan film,Neutral
334,test patienc hr nonsens,Neutral
335,excel surpass,Neutral
336,k movi review,Neutral
337,cillian murphi christoph nolan,Neutral
338,relentless ride,Neutral
339,complex,Negative
340,definit well worth invest hour,Positive
341,great booooor,Positive
342,import movi like lot,Neutral
343,hollywood hype,Neutral
344,great subject dread film,Positive
345,impress couldv much better,Positive
346,one best film cinema histori,Positive
347,long slog histori blow qualiti genr,Negative
348,cillian murphi,Neutral
349,haunt beauti piec stori tell,Neutral
350,great movi flaw,Positive
351,way long reason,Negative
352,perfect,Positive
353,okay probabl worth extra cost watch imax,Positive
354,highli overr film obnoxi loud soundtrack,Positive
355,read singl book,Neutral
356,absolut masterpiec,Neutral
357,christoph nolan final give cillian murphi lead role excel,Neutral
358,scientif masterpiec,Neutral
359,let art speak list excerpt,Neutral
360,could movi ham sandwich,Neutral
361,bomb,Neutral
362,deafen sound effect ruin film,Positive
363,overr solid,Neutral
364,overhyp,Neutral
365,floppenheim,Neutral
366,nolanonc,Neutral
367,theori get far,Positive
368,wow,Positive
369,exceed expect wow,Positive
370,kill thrill chill stori atom bomb,Neutral
371,good long,Positive
372,best movi ive ever seen,Positive
373,hype deliv,Neutral
374,imax unnecessari,Neutral
375,fell asleep,Neutral
376,honestli yawn,Neutral
377,nolan slip first time garbag,Positive
378,masterpiec christoph nolan film rememb forev,Neutral
379,gonna win ton award next spring,Positive
380,three hour pure happi,Positive
381,christoph nolan magnum opu still one best work histori,Positive
382,must see film put front row center atom bomb,Negative
383,follow plot complic sake complic artist,Neutral
384,masterpiec,Neutral
385,took tri get,Neutral
386,sorri must watch differ film everyon el,Neutral
387,oscar go,Neutral
388,nolan deliv anoth monstrou spectacl,Neutral
389,masterpiec infinit goosebump,Neutral
390,excel movi,Neutral
391,arguabl best movi year,Positive
392,minut destroy run time,Negative
393,critic review,Neutral
394,cillian murphi brilliant chri nolan best,Positive
395,movi overr offic polit,Neutral
396,bore without scienc,Neutral
397,overr movi histori hollywood,Neutral
398,masterpiec effortless act,Neutral
399,one great piec cinema time,Positive
400,peak cinema,Neutral
401,worth everi spent penni,Positive
402,experi lifetim,Neutral
403,oppenheim win oblig less outstand filmmak,Positive
404,great idea disappoint execut,Positive
405,simpli marvel film make act,Neutral
406,great act bore lengthi stori,Positive
407,disjoint,Neutral
408,surprisingli didnt like,Neutral
409,beauti portrait conflict man save world,Neutral
410,oppenheim film leav unsettl,Neutral
411,histori buff film nerd movi masterpiec,Neutral
412,interest storytel cinematographi direct realli well,Positive
413,becom death destroy world,Negative
414,h could done,Neutral
415,best movi,Positive
416,somewhat disappoint,Neutral
417,selfawar entertain,Neutral
418,excel,Neutral
419,good movi worth hype,Positive
420,exhaust worth,Positive
421,instant gratif cultur,Neutral
422,good histor movi,Positive
423,excel movi nolan best,Positive
424,audienc educ nolan didnt due dillig,Negative
425,beauti perform need edit,Neutral
426,say ye oppnenheim,Neutral
427,mix bag ye bore,Neutral
428,overr movi year,Neutral
429,true mileston cinema histori,Positive
430,masterpiec inde,Neutral
431,best,Positive
432,couldnt take eye screen,Neutral
